Time	Aircraft Simulation Airspeed	Aircraft Simulation Position Z	Aircraft Simulation Altitude	Aircraft Simulation Net Global Force Y
48.9	12.97865	57.86663	122.9718	0
49	12.96752	57.64014	123.2986	0
49.1	12.95586	57.4482	123.6246	0
49.2	12.94498	57.29094	123.95	0
49.3	12.93549	57.16854	124.275	0
49.4	12.92602	57.08106	124.5996	0
49.5	12.91602	57.02848	124.9236	0
49.6	12.90689	57.01082	125.247	0
49.7	12.89907	57.02815	125.5701	0
49.8	12.89098	57.08045	125.893	0
49.9	12.88239	57.16755	126.2152	0
50	12.87474	57.28938	126.5369	0
50.1	12.86827	57.44594	126.8585	0
50.2	12.86132	57.63709	127.1798	0
50.3	12.85394	57.86255	127.5006	0
50.4	12.84755	58.12216	127.8211	0
50.5	12.84213	58.41581	128.1415	0
50.6	12.83611	58.74323	128.4617	0
50.7	12.82972	59.10405	128.7813	0
50.8	12.8244	59.49803	129.1005	0
50.9	12.81983	59.92495	129.4194	0
51	12.81461	60.38441	129.7383	0
51.1	12.80904	60.87596	130.057	0
51.2	12.8046	61.39925	130.3752	0
51.3	12.80066	61.95394	130.6933	0
51.4	12.79607	62.53954	131.0114	0
51.5	12.7912	63.15551	131.3293	0
51.6	12.78751	63.8014	131.6468	0
51.7	12.78406	64.47678	131.9641	0
51.8	12.78002	65.18102	132.2815	0
51.9	12.77573	65.91355	132.5989	0
52	12.77261	66.67378	132.9163	0
52.1	12.76953	67.46117	133.2337	0
52.2	12.76597	68.27507	133.5506	0
52.3	12.7622	69.11476	133.8673	0
52.4	12.75957	69.97961	134.1839	0
52.5	12.75684	70.86897	134.5005	0
52.6	12.75366	71.78208	134.8171	0
52.7	12.75034	72.71819	135.1333	0
52.8	12.74809	73.67657	135.4492	0
52.9	12.74558	74.65649	135.7657	0
53	12.74275	75.65715	136.0815	0
53.1	12.73985	76.67763	136.3974	0
53.2	12.73784	77.71716	136.7133	0
53.3	12.73557	78.77508	137.0291	0
53.4	12.73302	79.8504	137.3449	0
53.5	12.73045	80.94222	137.6608	0
53.6	12.72861	82.04975	137.9767	0
53.7	12.7265	83.17207	138.2925	0
53.8	12.72421	84.30826	138.6082	0
53.9	12.72196	85.4574	138.9233	0
54	12.72024	86.61857	139.2384	0
54.1	12.71831	87.79085	139.5535	0
54.2	12.71627	88.97324	139.8686	0
54.3	12.7143	90.16486	140.1837	0
54.4	12.71265	91.36471	140.4988	0
54.5	12.71086	92.57185	140.8139	0
54.6	12.70901	93.78528	141.129	0
54.7	12.70724	95.00401	141.4441	0
54.8	12.70563	96.22709	141.7592	0
54.9	12.70395	97.45351	142.0743	0
55	12.70226	98.68229	142.3894	0
55.1	12.70068	99.91242	142.7045	0
55.2	12.69909	101.1429	143.0196	0
55.3	12.69752	102.3728	143.3347	0
55.4	12.69599	103.6011	143.6497	0
55.5	12.69455	104.8267	143.9648	0
55.6	12.69297	106.0487	144.2797	0
55.7	12.69153	107.2661	144.5941	0
55.8	12.6902	108.478	144.9084	0
55.9	12.68887	109.6833	145.2227	0
56	12.68732	110.881	145.5371	0
56.1	12.68598	112.0703	145.8514	0
56.2	12.68482	113.2501	146.1658	0
56.3	12.68358	114.4194	146.4801	0
56.4	12.68204	115.5775	146.7944	0
56.5	12.68079	116.7232	147.1088	0
56.6	12.67979	117.8556	147.4231	0
56.7	12.67858	118.9739	147.7374	0
56.8	12.67704	120.0772	148.0518	0
56.9	12.67589	121.1645	148.3661	0
57	12.67506	122.2349	148.6805	0
57.1	12.67385	123.2877	148.9948	0
57.2	12.67233	124.3219	149.3091	0
57.3	12.67125	125.3367	149.6234	0
57.4	12.67055	126.3313	149.9378	0
57.5	12.66934	127.3048	150.2521	0
57.6	12.6678	128.2566	150.5664	0
57.7	12.66682	129.1858	150.8808	0
57.8	12.66627	130.0916	151.1951	0
57.9	12.66504	130.9734	151.5094	0
58	12.66352	131.8304	151.8238	0
58.1	12.66261	132.6619	152.1381	0
58.2	12.6622	133.4672	152.4525	0
58.3	12.66096	134.2457	152.7668	0
58.4	12.65949	134.9969	153.0808	0
58.5	12.6587	135.7199	153.3948	0
58.6	12.65838	136.4143	153.7091	0
58.7	12.65715	137.0795	154.0234	0
58.8	12.65571	137.715	154.3371	0
58.9	12.65504	138.3202	154.6508	0
59	12.6548	138.8947	154.9651	0
59.1	12.65355	139.4379	155.2794	0
59.2	12.65214	139.9495	155.593	0
59.3	12.65157	140.4291	155.9066	0
59.4	12.65137	140.8761	156.2208	0
59.5	12.65016	141.2904	156.5349	0
59.6	12.64876	141.6715	156.8485	0
59.7	12.64829	142.0192	157.1621	0
59.8	12.64813	142.3331	157.4761	0
59.9	12.64694	142.6129	157.79	0
60	12.6456	142.8587	158.1036	0
60.1	12.64523	143.07	158.4172	0
60.2	12.64508	143.2466	158.731	0
60.3	12.64392	143.3885	159.0446	0
60.4	12.6426	143.4956	159.3582	0
60.5	12.64232	143.5678	159.6719	0
60.6	12.64217	143.6049	159.9854	0
60.7	12.64104	143.607	160.2989	0
60.8	12.63976	143.5742	160.6125	0
60.9	12.63956	143.5064	160.9261	0
61	12.63939	143.4036	161.2397	0
61.1	12.63828	143.2659	161.5532	0
61.2	12.63703	143.0936	161.8668	0
61.3	12.6369	142.8866	162.1804	0
61.4	12.6367	142.6452	162.494	0
61.5	12.63563	142.3696	162.8075	0
61.6	12.63441	142.0601	163.1211	0
61.7	12.63438	141.7168	163.4347	0
61.8	12.63412	141.34	163.7482	0
61.9	12.63308	140.93	164.0618	0
62	12.63191	140.4873	164.3754	0
62.1	12.63192	140.0121	164.689	0
62.2	12.63164	139.5049	165.0025	0
62.3	12.63065	138.966	165.316	0
62.4	12.62951	138.3959	165.6296	0
62.5	12.62956	137.7952	165.9433	0
62.6	12.62923	137.1641	166.2568	0
62.7	12.62826	136.5033	166.5703	0
62.8	12.62719	135.8134	166.8839	0
62.9	12.62725	135.095	167.1975	0
63	12.62688	134.3484	167.5111	0
63.1	12.62597	133.5744	167.8246	0
63.2	12.62495	132.7738	168.1382	0
63.3	12.625	131.947	168.4518	0
63.4	12.6246	131.0947	168.7654	0
63.5	12.62373	130.2177	169.0789	0
63.6	12.6228	129.3168	169.3925	0
63.7	12.62281	128.3925	169.7061	0
63.8	12.62236	127.4458	170.0196	0
63.9	12.62155	126.4773	170.3332	0
64	12.62068	125.4878	170.6468	0
64.1	12.62062	124.4783	170.9604	0
64.2	12.62015	123.4494	171.2739	0
64.3	12.61939	122.4021	171.5875	0
