Time	Aircraft Simulation Net Global Force Y	Aircraft Simulation Position Z	Aircraft Simulation Altitude	Aircraft Simulation Airspeed
31.6	0	90.37414	28.06441	19.36559
31.7	0	88.91769	28.55623	19.40459
31.8	0	87.36108	29.04441	19.45334
31.9	0	85.7092	29.53691	19.51063
32	0	83.9723	30.04005	19.56796
32.1	0	82.16651	30.55743	19.62082
32.2	0	80.31128	31.09047	19.66986
32.3	0	78.42742	31.63725	19.70755
32.4	0	76.53489	32.19358	19.7344
32.5	0	74.65069	32.75451	19.75235
32.6	0	72.78886	33.31434	19.76076
32.7	0	70.9612	33.86884	19.76768
32.8	0	69.17821	34.41524	19.77327
32.9	0	67.4511	34.9528	19.78407
33	0	65.79266	35.48325	19.80184
33.1	0	64.21719	36.0092	19.82378
33.2	0	62.74081	36.53435	19.85222
33.3	0	61.38049	37.06247	19.88369
33.4	0	60.15173	37.59602	19.91345
33.5	0	59.0684	38.13667	19.94315
33.6	0	58.14101	38.68461	19.96785
33.7	0	57.37594	39.23851	19.98823
33.8	0	56.77644	39.79629	20.00281
33.9	0	56.34302	40.3554	20.01321
34	0	56.07488	40.91354	20.02102
34.1	0	55.97022	41.46857	20.02622
34.2	0	56.02853	42.01983	20.03462
34.3	0	56.24961	42.56734	20.04341
34.4	0	56.63325	43.11177	20.0549
34.5	0	57.17994	43.65492	20.07037
34.6	0	57.88861	44.1984	20.08674
34.7	0	58.75608	44.7436	20.10396
34.8	0	59.77757	45.29188	20.12194
34.9	0	60.94528	45.84361	20.13726
35	0	62.24913	46.39851	20.15105
35.1	0	63.67757	46.95593	20.16212
35.2	0	65.21784	47.51479	20.17124
35.3	0	66.85651	48.07376	20.17766
35.4	0	68.58015	48.6319	20.1838
35.5	0	70.3754	49.18856	20.18934
35.6	0	72.2287	49.74335	20.19522
35.7	0	74.12653	50.29655	20.2028
35.8	0	76.05488	50.84879	20.21134
35.9	0	77.99929	51.40071	20.22072
36	0	79.94467	51.95314	20.23108
