Time	Aircraft Simulation Altitude	Aircraft Simulation Position Z	Aircraft Simulation Net Global Force X	Aircraft Simulation Net Global Force Y	Aircraft Simulation Net Global Force Z	Aircraft Simulation Airspeed
103.3	45.74169	954.6564	0	0	0	10.72855
103.4	45.73959	955.7283	0	0	0	10.6974
103.5	45.73129	956.7973	0	0	0	10.6719
103.6	45.71662	957.864	0	0	0	10.65223
103.7	45.69541	958.9297	0	0	0	10.63864
103.8	45.6676	959.9932	0	0	0	10.63112
103.9	45.63313	961.0558	0	0	0	10.62966
104	45.59201	962.1184	0	0	0	10.63435
104.1	45.5443	963.1814	0	0	0	10.64508
104.2	45.49009	964.2471	0	0	0	10.66168
104.3	45.42951	965.3131	0	0	0	10.68399
104.4	45.36269	966.3818	0	0	0	10.71183
104.5	45.28984	967.4531	0	0	0	10.74493
104.6	45.21124	968.5274	0	0	0	10.78304
104.7	45.12716	969.6058	0	0	0	10.82582
104.8	45.0379	970.6879	0	0	0	10.87284
104.9	44.94379	971.7745	0	0	0	10.92376
105	44.84526	972.866	0	0	0	10.9782
105.1	44.74268	973.9629	0	0	0	11.03578
105.2	44.63652	975.0652	0	0	0	11.09589
105.3	44.52721	976.1733	0	0	0	11.15816
105.4	44.41523	977.2875	0	0	0	11.22215
105.5	44.30107	978.408	0	0	0	11.28738
105.6	44.18527	979.5347	0	0	0	11.35338
105.7	44.06833	980.668	0	0	0	11.41965
105.8	43.95075	981.8079	0	0	0	11.4857
105.9	43.83305	982.9544	0	0	0	11.5512
106	43.71581	984.1075	0	0	0	11.6157
106.1	43.59952	985.267	0	0	0	11.67868
106.2	43.48471	986.4328	0	0	0	11.73983
106.3	43.37188	987.6049	0	0	0	11.79871
106.4	43.26157	988.7829	0	0	0	11.85494
106.5	43.15425	989.9667	0	0	0	11.90827
106.6	43.05043	991.1559	0	0	0	11.95822
106.7	42.95052	992.3503	0	0	0	12.00453
106.8	42.85494	993.5496	0	0	0	12.04694
106.9	42.76407	994.7531	0	0	0	12.0852
107	42.67829	995.9604	0	0	0	12.11911
107.1	42.5979	997.1713	0	0	0	12.14844
107.2	42.52316	998.3856	0	0	0	12.17296
107.3	42.45432	999.6025	0	0	0	12.19267
107.4	42.39159	1000.821	0	0	0	12.20742
107.5	42.33513	1002.041	0	0	0	12.21709
107.6	42.28501	1003.262	0	0	0	12.22162
107.7	42.24129	1004.482	0	0	0	12.22103
107.8	42.20402	1005.702	0	0	0	12.2154
107.9	42.17317	1006.922	0	0	0	12.20467
108	42.14861	1008.142	0	0	0	12.1889
108.1	42.13025	1009.36	0	0	0	12.16833
108.2	42.11794	1010.575	0	0	0	12.14302
108.3	42.11145	1011.788	0	0	0	12.11314
108.4	42.11049	1012.998	0	0	0	12.07884
108.5	42.11475	1014.204	0	0	0	12.04033
108.6	42.12387	1015.406	0	0	0	11.99803
108.7	42.13755	1016.604	0	0	0	11.95212
108.8	42.15532	1017.796	0	0	0	11.90287
108.9	42.17675	1018.984	0	0	0	11.85064
109	42.20139	1020.166	0	0	0	11.7958
109.1	42.22879	1021.343	0	0	0	11.73874
109.2	42.25841	1022.513	0	0	0	11.67981
109.3	42.28973	1023.678	0	0	0	11.61935
109.4	42.32226	1024.837	0	0	0	11.5579
109.5	42.35548	1025.989	0	0	0	11.49584
109.6	42.38881	1027.135	0	0	0	11.43352
109.7	42.42184	1028.275	0	0	0	11.37148
109.8	42.45403	1029.409	0	0	0	11.31005
109.9	42.48487	1030.537	0	0	0	11.24976
110	42.51391	1031.659	0	0	0	11.19105
110.1	42.54066	1032.775	0	0	0	11.13417
110.2	42.56466	1033.886	0	0	0	11.07968
110.3	42.58546	1034.991	0	0	0	11.02804
110.4	42.60265	1036.092	0	0	0	10.97951
110.5	42.61581	1037.188	0	0	0	10.93445
110.6	42.62461	1038.28	0	0	0	10.89329
110.7	42.62878	1039.367	0	0	0	10.85639
110.8	42.62801	1040.452	0	0	0	10.82394
110.9	42.62205	1041.533	0	0	0	10.79617
111	42.6107	1042.614	0	0	0	10.77328
111.1	42.59379	1043.689	0	0	0	10.75537
111.2	42.57122	1044.764	0	0	0	10.74276
111.3	42.54293	1045.839	0	0	0	10.7354
111.4	42.50885	1046.913	0	0	0	10.73327
111.5	42.46898	1047.988	0	0	0	10.73638
111.6	42.42332	1049.063	0	0	0	10.74478
111.7	42.3719	1050.138	0	0	0	10.75827
111.8	42.31483	1051.212	0	0	0	10.77673
111.9	42.25227	1052.291	0	0	0	10.80011
112	42.18445	1053.371	0	0	0	10.82813
112.1	42.11155	1054.453	0	0	0	10.86053
112.2	42.03382	1055.54	0	0	0	10.89702
112.3	41.95153	1056.629	0	0	0	10.93724
112.4	41.86498	1057.722	0	0	0	10.98089
112.5	41.77451	1058.82	0	0	0	11.02777
112.6	41.68046	1059.922	0	0	0	11.07742
112.7	41.5832	1061.029	0	0	0	11.12929
112.8	41.48314	1062.14	0	0	0	11.18317
112.9	41.38068	1063.257	0	0	0	11.23874
113	41.27626	1064.38	0	0	0	11.29549
113.1	41.1703	1065.509	0	0	0	11.35292
113.2	41.06326	1066.642	0	0	0	11.41068
113.3	40.95562	1067.782	0	0	0	11.46842
113.4	40.84784	1068.927	0	0	0	11.52576
113.5	40.74046	1070.078	0	0	0	11.5823
113.6	40.63389	1071.235	0	0	0	11.63753
113.7	40.5286	1072.397	0	0	0	11.69121
113.8	40.42504	1073.565	0	0	0	11.74297
113.9	40.32365	1074.737	0	0	0	11.79247
114	40.22483	1075.915	0	0	0	11.8394
114.1	40.12896	1077.099	0	0	0	11.88346
114.2	40.03644	1078.286	0	0	0	11.92434
114.3	39.94763	1079.477	0	0	0	11.96197
114.4	39.86292	1080.673	0	0	0	11.99605
114.5	39.78256	1081.871	0	0	0	12.02626
114.6	39.70684	1083.073	0	0	0	12.05244
114.7	39.63601	1084.277	0	0	0	12.07452
114.8	39.57033	1085.485	0	0	0	12.09246
114.9	39.50994	1086.693	0	0	0	12.10599
115	39.45493	1087.902	0	0	0	12.11502
115.1	39.40541	1089.111	0	0	0	12.11962
115.2	39.36152	1090.325	0	0	0	12.11977
115.3	39.3233	1091.54	0	0	0	12.11542
115.4	39.29065	1092.749	0	0	0	12.1066
115.5	39.26343	1093.957	0	0	0	12.09337
115.6	39.24153	1095.165	0	0	0	12.07592
115.7	39.2248	1096.373	0	0	0	12.05439
115.8	39.21302	1097.576	0	0	0	12.02888
115.9	39.20596	1098.778	0	0	0	11.99959
116	39.20343	1099.976	0	0	0	11.96677
116.1	39.20515	1101.172	0	0	0	11.93061
116.2	39.21082	1102.362	0	0	0	11.89131
116.3	39.22009	1103.549	0	0	0	11.84903
116.4	39.23258	1104.733	0	0	0	11.8042
116.5	39.24791	1105.911	0	0	0	11.75714
116.6	39.26566	1107.083	0	0	0	11.708
116.7	39.28539	1108.252	0	0	0	11.65725
116.8	39.3067	1109.415	0	0	0	11.60518
116.9	39.32915	1110.573	0	0	0	11.55224
117	39.35229	1111.726	0	0	0	11.49871
117.1	39.37569	1112.873	0	0	0	11.44494
117.2	39.39883	1114.015	0	0	0	11.39129
117.3	39.42129	1115.151	0	0	0	11.33834
117.4	39.44263	1116.282	0	0	0	11.28628
117.5	39.46242	1117.408	0	0	0	11.23545
117.6	39.48025	1118.53	0	0	0	11.18636
117.7	39.49574	1119.647	0	0	0	11.13931
117.8	39.50856	1120.758	0	0	0	11.09463
117.9	39.51835	1121.866	0	0	0	11.0526
118	39.52482	1122.97	0	0	0	11.01355
118.1	39.52762	1124.069	0	0	0	10.97776
118.2	39.5265	1125.167	0	0	0	10.94552
118.3	39.52118	1126.26	0	0	0	10.91698
118.4	39.51144	1127.352	0	0	0	10.8924
118.5	39.49711	1128.439	0	0	0	10.87198
118.6	39.47803	1129.526	0	0	0	10.8559
118.7	39.45418	1130.613	0	0	0	10.84419
118.8	39.42544	1131.7	0	0	0	10.83689
118.9	39.39169	1132.782	0	0	0	10.83409
119	39.35288	1133.863	0	0	0	10.83582
119.1	39.30901	1134.945	0	0	0	10.84211
119.2	39.26016	1136.032	0	0	0	10.85279
119.3	39.20641	1137.119	0	0	0	10.86774
119.4	39.1479	1138.206	0	0	0	10.88698
119.5	39.0848	1139.293	0	0	0	10.91024
119.6	39.0173	1140.386	0	0	0	10.93727
119.7	38.9456	1141.479	0	0	0	10.96781
119.8	38.8699	1142.576	0	0	0	11.00171
119.9	38.79047	1143.675	0	0	0	11.03861
120	38.70758	1144.779	0	0	0	11.07824
120.1	38.62155	1145.886	0	0	0	11.12037
120.2	38.53272	1146.997	0	0	0	11.16461
120.3	38.44143	1148.114	0	0	0	11.21063
120.4	38.348	1149.234	0	0	0	11.2581
120.5	38.25282	1150.359	0	0	0	11.30664
120.6	38.15629	1151.488	0	0	0	11.35589
120.7	38.0588	1152.623	0	0	0	11.40559
120.8	37.96075	1153.763	0	0	0	11.4553
120.9	37.86258	1154.907	0	0	0	11.50469
121	37.76465	1156.056	0	0	0	11.55348
121.1	37.66738	1157.21	0	0	0	11.60121
121.2	37.57115	1158.369	0	0	0	11.64763
121.3	37.47636	1159.534	0	0	0	11.69253
121.4	37.3834	1160.702	0	0	0	11.73548
121.5	37.29264	1161.873	0	0	0	11.77624
121.6	37.20442	1163.051	0	0	0	11.81465
121.7	37.11904	1164.231	0	0	0	11.85034
121.8	37.03682	1165.415	0	0	0	11.88319
121.9	36.95804	1166.604	0	0	0	11.91296
122	36.88299	1167.794	0	0	0	11.93943
122.1	36.81189	1168.987	0	0	0	11.96258
122.2	36.745	1170.183	0	0	0	11.98222
122.3	36.68246	1171.379	0	0	0	11.99813
122.4	36.6244	1172.58	0	0	0	12.0103
122.5	36.57097	1173.782	0	0	0	12.0186
122.6	36.52224	1174.984	0	0	0	12.02311
122.7	36.47833	1176.186	0	0	0	12.02382
122.8	36.43923	1177.388	0	0	0	12.02058
122.9	36.40489	1178.59	0	0	0	12.01345
123	36.37526	1179.792	0	0	0	12.00255
123.1	36.35026	1180.993	0	0	0	11.988
123.2	36.32972	1182.189	0	0	0	11.9699
123.3	36.31346	1183.385	0	0	0	11.9483
123.4	36.30131	1184.58	0	0	0	11.92336
123.5	36.29303	1185.77	0	0	0	11.89542
123.6	36.28844	1186.959	0	0	0	11.86453
123.7	36.28728	1188.143	0	0	0	11.83088
