Time	Aircraft Simulation Altitude	Aircraft Simulation Position Z
44.2	61.23513	553.938
44.3	61.06767	555.3792
44.4	60.88948	556.8343
44.5	60.7023	558.3043
44.6	60.50785	559.7902
44.7	60.30789	561.2925
44.8	60.10426	562.8118
44.9	59.89893	564.3486
45	59.69386	565.903
45.1	59.49097	567.475
45.2	59.29214	569.0644
45.3	59.09923	570.6707
45.4	58.91421	572.2933
45.5	58.73887	573.9318
45.6	58.57486	575.585
45.7	58.42375	577.2516
45.8	58.28712	578.9307
45.9	58.16634	580.6209
46	58.06258	582.3204
46.1	57.9768	584.0278
46.2	57.90987	585.7412
46.3	57.86251	587.459
46.4	57.83509	589.1787
46.5	57.82772	590.8983
46.6	57.8404	592.6175
46.7	57.87291	594.3329
46.8	57.92471	596.0433
46.9	57.99503	597.7468
47	58.08295	599.4413
47.1	58.18736	601.1255
47.2	58.30692	602.7978
47.3	58.44012	604.4567
47.4	58.58529	606.1013
47.5	58.7407	607.7305
47.6	58.90445	609.3433
47.7	59.07463	610.9392
47.8	59.24922	612.5177
47.9	59.42615	614.0784
48	59.60339	615.6215
48.1	59.77885	617.1468
48.2	59.95057	618.6548
48.3	60.11656	620.146
48.4	60.27487	621.6209
48.5	60.42361	623.0804
48.6	60.56102	624.5253
48.7	60.68543	625.9569
48.8	60.79526	627.3762
48.9	60.88901	628.7849
49	60.96536	630.184
49.1	61.02317	631.5751
49.2	61.06154	632.9601
49.3	61.07974	634.3403
49.4	61.07735	635.7177
49.5	61.05417	637.0935
49.6	61.01032	638.47
49.7	60.94617	639.8494
49.8	60.8624	641.2328
49.9	60.75983	642.6225
50	60.63956	644.0196
50.1	60.50276	645.4261
50.2	60.35078	646.8435
50.3	60.18506	648.2732
50.4	60.00715	649.7167
50.5	59.81881	651.1748
50.6	59.62183	652.6489
50.7	59.41808	654.1399
50.8	59.20944	655.6481
50.9	58.99779	657.1743
51	58.7851	658.7184
51.1	58.57347	660.2808
51.2	58.36491	661.8615
51.3	58.16137	663.46
51.4	57.96473	665.076
51.5	57.77699	666.7087
51.6	57.59997	668.3573
51.7	57.43544	670.0208
51.8	57.28495	671.6979
51.9	57.15001	673.3871
52	57.03205	675.0873
52.1	56.93223	676.7967
52.2	56.85146	678.5134
52.3	56.79056	680.2354
52.4	56.75017	681.9612
52.5	56.73064	683.6896
52.6	56.732	685.4171
52.7	56.75409	687.1418
