Time	Aircraft Simulation Altitude	Aircraft Simulation Position Z
71.4	1.433852	4.852861
71.5	1.433853	4.852842
71.6	1.433853	4.852827
71.7	1.433852	4.852802
71.8	1.433852	4.85278
71.9	1.43385	4.852757
72	1.43385	4.852739
72.1	1.433848	4.852716
72.2	1.433849	4.85269
72.3	1.43385	4.852665
72.4	1.433847	4.852645
72.5	1.43385	4.852628
72.6	1.43385	4.852613
72.7	1.433848	4.852592
72.8	1.433851	4.852568
72.9	1.433851	4.852545
73	1.433849	4.85252
73.1	1.433849	4.852499
73.2	1.433848	4.852481
73.3	1.433847	4.852462
73.4	1.433847	4.852441
73.5	1.433845	4.85242
73.6	1.433849	4.852395
73.7	1.433845	4.852369
73.8	1.433844	4.852354
73.9	1.43385	4.852328
74	1.433849	4.852312
74.1	1.433849	4.852292
74.2	1.433845	4.852268
74.3	1.433848	4.852243
74.4	1.433842	4.852218
74.5	1.433848	4.852195
74.6	1.433847	4.852178
74.7	1.433848	4.85216
74.8	1.433847	4.852139
74.9	1.433846	4.852116
75	1.433841	4.852089
75.1	1.433842	4.852061
75.2	1.43384	4.852045
75.3	1.433844	4.852022
75.4	1.433846	4.852008
75.5	1.433844	4.851995
75.6	1.433843	4.851971
75.7	1.433845	4.851947
75.8	1.433841	4.851924
75.9	1.433845	4.851894
76	1.433841	4.851864
76.1	1.433843	4.85184
76.2	1.43384	4.851824
76.3	1.433841	4.851805
76.4	1.433841	4.851786
76.5	1.433841	4.851768
76.6	1.433838	4.851742
76.7	1.433841	4.851717
76.8	1.433841	4.851692
76.9	1.433841	4.851671
77	1.433834	4.851649
77.1	1.433841	4.851628
77.2	1.433839	4.851613
77.3	1.433841	4.851588
77.4	1.43384	4.851566
77.5	1.43384	4.851545
77.6	1.433838	4.851519
77.7	1.433838	4.851496
77.8	1.433835	4.851473
77.9	1.433836	4.851453
78	1.433841	4.851426
78.1	1.433837	4.851409
78.2	1.433836	4.851395
78.3	1.433841	4.851376
78.4	1.433836	4.851356
78.5	1.433834	4.851326
78.6	1.433837	4.851302
78.7	1.433833	4.851277
78.8	1.433833	4.851255
78.9	1.433837	4.851234
79	1.433839	4.85122
79.1	1.433835	4.851195
79.2	1.433837	4.851177
79.3	1.433834	4.851152
79.4	1.433833	4.851123
79.5	1.433829	4.851107
79.6	1.433834	4.851086
79.7	1.433832	4.85107
79.8	1.43383	4.851049
79.9	1.433833	4.851024
80	1.433834	4.850998
80.1	1.43383	4.850975
80.2	1.433828	4.85095
80.3	1.433831	4.850926
80.4	1.433834	4.850903
80.5	1.433831	4.850892
80.6	1.433829	4.850871
80.7	1.433828	4.850846
80.8	1.433829	4.850818
80.9	1.433831	4.850792
81	1.43383	4.850769
81.1	1.433825	4.850749
81.2	1.433831	4.850729
81.3	1.433827	4.850709
81.4	1.433828	4.850685
81.5	1.433826	4.850665
81.6	1.433827	4.85064
81.7	1.433829	4.850621
81.8	1.433826	4.850608
81.9	1.433825	4.850586
82	1.433826	4.850561
82.1	1.433827	4.85054
82.2	1.433827	4.850514
82.3	1.433828	4.850492
82.4	1.433827	4.850469
82.5	1.433825	4.850446
82.6	1.433826	4.850431
82.7	1.433827	4.85041
82.8	1.433822	4.850392
82.9	1.433826	4.850366
83	1.433825	4.850341
83.1	1.433822	4.850323
83.2	1.433827	4.850298
83.3	1.433825	4.850278
83.4	1.433825	4.850254
83.5	1.433823	4.850232
83.6	1.433826	4.850212
83.7	1.433824	4.850188
83.8	1.433822	4.850166
83.9	1.433824	4.850142
84	1.433825	4.850122
84.1	1.433824	4.850097
84.2	1.433823	4.850076
84.3	1.433823	4.850054
84.4	1.433824	4.850033
84.5	1.433821	4.85002
84.6	1.433821	4.849998
84.7	1.433824	4.849972
84.8	1.433826	4.849943
84.9	1.433818	4.849922
85	1.433817	4.8499
85.1	1.43382	4.849882
85.2	1.433815	4.849864
85.3	1.433819	4.849844
85.4	1.433822	4.849831
85.5	1.433824	4.849805
85.6	1.433819	4.849793
85.7	1.433817	4.849766
85.8	1.43382	4.849734
85.9	1.433817	4.849717
86	1.433814	4.849693
86.1	1.433818	4.849667
86.2	1.433819	4.849646
86.3	1.433817	4.849631
86.4	1.433813	4.849608
86.5	1.433816	4.849585
86.6	1.433815	4.849558
86.7	1.433815	4.849532
86.8	1.433817	4.849512
86.9	1.433811	4.849498
87	1.433815	4.849476
87.1	1.433817	4.849454
87.2	1.433812	4.849437
87.3	1.433817	4.849415
87.4	1.433815	4.849391
87.5	1.433815	4.849372
87.6	1.43381	4.849349
87.7	1.43381	4.849329
87.8	1.433806	4.849304
87.9	1.433812	4.849278
88	1.433813	4.849259
88.1	1.433814	4.849245
88.2	1.433815	4.84922
88.3	1.43381	4.849196
88.4	1.433812	4.849171
88.5	1.433808	4.849149
88.6	1.433806	4.849129
88.7	1.433808	4.849107
88.8	1.433812	4.849089
88.9	1.433809	4.849067
89	1.433808	4.849037
89.1	1.433806	4.849013
89.2	1.43381	4.84899
89.3	1.433812	4.848975
89.4	1.433807	4.848966
89.5	1.433809	4.848945
89.6	1.433809	4.848915
89.7	1.433807	4.848896
89.8	1.433803	4.848868
89.9	1.433805	4.848845
90	1.433808	4.848823
90.1	1.433805	4.848804
90.2	1.433806	4.848778
90.3	1.433807	4.848763
90.4	1.433805	4.848743
90.5	1.433805	4.848724
90.6	1.433806	4.848693
