Time	Aircraft Simulation Altitude	Aircraft Simulation Position Z	Aircraft Simulation Net Global Force Z
74.7	1.433848	4.85216	0
74.8	1.433847	4.852139	0
74.9	1.433846	4.852116	0
75	1.433841	4.852089	0
75.1	1.433842	4.852061	0
75.2	1.43384	4.852045	0
75.3	1.433844	4.852022	0
75.4	1.433846	4.852008	0
75.5	1.433844	4.851995	0
75.6	1.433843	4.851971	0
75.7	1.433845	4.851947	0
75.8	1.433841	4.851924	0
75.9	1.433845	4.851894	0
76	1.433841	4.851864	0
76.1	1.433843	4.85184	0
76.2	1.43384	4.851824	0
76.3	1.433841	4.851805	0
76.4	1.433841	4.851786	0
76.5	1.433841	4.851768	0
76.6	1.433838	4.851742	0
76.7	1.433841	4.851717	0
76.8	1.433841	4.851692	0
76.9	1.433841	4.851671	0
77	1.433834	4.851649	0
77.1	1.433841	4.851628	0
77.2	1.433839	4.851613	0
77.3	1.433841	4.851588	0
77.4	1.43384	4.851566	0
77.5	1.43384	4.851545	0
77.6	1.433838	4.851519	0
77.7	1.433838	4.851496	0
77.8	1.433835	4.851473	0
77.9	1.433836	4.851453	0
78	1.433841	4.851426	0
78.1	1.433837	4.851409	0
78.2	1.433836	4.851395	0
78.3	1.433841	4.851376	0
78.4	1.433836	4.851356	0
78.5	1.433834	4.851326	0
78.6	1.433837	4.851302	0
78.7	1.433833	4.851277	0
78.8	1.433833	4.851255	0
78.9	1.433837	4.851234	0
79	1.433839	4.85122	0
79.1	1.433835	4.851195	0
79.2	1.433837	4.851177	0
79.3	1.433834	4.851152	0
79.4	1.433833	4.851123	0
79.5	1.433829	4.851107	0
79.6	1.433834	4.851086	0
79.7	1.433832	4.85107	0
79.8	1.43383	4.851049	0
79.9	1.433833	4.851024	0
80	1.433834	4.850998	0
80.1	1.43383	4.850975	0
80.2	1.433828	4.85095	0
80.3	1.433831	4.850926	0
80.4	1.433834	4.850903	0
80.5	1.433831	4.850892	0
80.6	1.433829	4.850871	0
80.7	1.433828	4.850846	0
80.8	1.433829	4.850818	0
80.9	1.433831	4.850792	0
81	1.43383	4.850769	0
81.1	1.433825	4.850749	0
81.2	1.433831	4.850729	0
81.3	1.433827	4.850709	0
81.4	1.433828	4.850685	0
81.5	1.433826	4.850665	0
81.6	1.433827	4.85064	0
81.7	1.433829	4.850621	0
81.8	1.433826	4.850608	0
81.9	1.433825	4.850586	0
82	1.433826	4.850561	0
82.1	1.433827	4.85054	0
82.2	1.433827	4.850514	0
82.3	1.433828	4.850492	0
82.4	1.433827	4.850469	0
82.5	1.433825	4.850446	0
82.6	1.433826	4.850431	0
82.7	1.433827	4.85041	0
82.8	1.433822	4.850392	0
82.9	1.433826	4.850366	0
83	1.433825	4.850341	0
83.1	1.433822	4.850323	0
83.2	1.433827	4.850298	0
83.3	1.433825	4.850278	0
83.4	1.433825	4.850254	0
83.5	1.433823	4.850232	0
83.6	1.433826	4.850212	0
83.7	1.433824	4.850188	0
83.8	1.433822	4.850166	0
83.9	1.433824	4.850142	0
84	1.433825	4.850122	0
84.1	1.433824	4.850097	0
84.2	1.433823	4.850076	0
84.3	1.433823	4.850054	0
84.4	1.433824	4.850033	0
84.5	1.433821	4.85002	0
84.6	1.433821	4.849998	0
84.7	1.433824	4.849972	0
84.8	1.433826	4.849943	0
84.9	1.433818	4.849922	0
85	1.433817	4.8499	0
85.1	1.43382	4.849882	0
85.2	1.433815	4.849864	0
85.3	1.433819	4.849844	0
85.4	1.433822	4.849831	0
85.5	1.433824	4.849805	0
85.6	1.433819	4.849793	0
85.7	1.433817	4.849766	0
85.8	1.43382	4.849734	0
85.9	1.433817	4.849717	0
86	1.433814	4.849693	0
86.1	1.433818	4.849667	0
86.2	1.433819	4.849646	0
86.3	1.433817	4.849631	0
86.4	1.433813	4.849608	0
86.5	1.433816	4.849585	0
86.6	1.433815	4.849558	0
86.7	1.433815	4.849532	0
86.8	1.433817	4.849512	0
86.9	1.433811	4.849498	0
87	1.433815	4.849476	0
87.1	1.433817	4.849454	0
87.2	1.433812	4.849437	0
87.3	1.433817	4.849415	0
87.4	1.433815	4.849391	0
