Time	Aircraft Simulation Altitude	Aircraft Simulation Position Z	Aircraft Simulation Net Global Force Z	Aircraft Simulation Airspeed
46.4	1.433911	4.85828	0	0.001317377
46.5	1.433913	4.858258	0	0.001659748
46.6	1.433913	4.858235	0	0.001202769
46.7	1.433911	4.858215	0	0.001101526
46.8	1.433914	4.858191	0	0.0007532634
46.9	1.433909	4.858172	0	0.001045517
47	1.433911	4.858151	0	0.0009090187
47.1	1.433909	4.858126	0	0.001103228
47.2	1.433912	4.858108	0	0.001212165
47.3	1.433913	4.858087	0	0.001195456
47.4	1.433912	4.85807	0	0.000589218
47.5	1.433912	4.858052	0	0.0006401272
47.6	1.433908	4.858032	0	0.0007505262
47.7	1.433908	4.858004	0	0.0009738336
47.8	1.433905	4.857973	0	0.001094803
47.9	1.433904	4.857949	0	0.001060468
48	1.433905	4.857931	0	0.001172782
48.1	1.433912	4.857916	0	0.001321899
48.2	1.433906	4.857902	0	0.0015365
48.3	1.433908	4.857879	0	0.0009026415
48.4	1.433907	4.857849	0	0.0008901712
48.5	1.433905	4.857821	0	0.0009278944
48.6	1.433905	4.8578	0	0.001324519
48.7	1.433903	4.857776	0	0.001511935
48.8	1.433904	4.857764	0	0.001579186
48.9	1.433908	4.857748	0	0.001390085
49	1.433906	4.857728	0	0.001384167
49.1	1.433905	4.857707	0	0.001150912
49.2	1.433908	4.857684	0	0.0005945032
49.3	1.433901	4.857661	0	0.0005173247
49.4	1.433903	4.857636	0	0.0007099453
49.5	1.433906	4.857606	0	0.0007230924
49.6	1.433902	4.857589	0	0.0008715159
49.7	1.433904	4.857566	0	0.001138398
49.8	1.433906	4.857549	0	0.001419475
49.9	1.433903	4.857526	0	0.001112445
50	1.433904	4.85751	0	0.001009335
50.1	1.433901	4.857488	0	0.0008793433
50.2	1.433904	4.857465	0	0.0005545389
50.3	1.433902	4.857443	0	0.0005563927
50.4	1.433901	4.857418	0	0.0006759243
50.5	1.433903	4.857395	0	0.0009542
50.6	1.433903	4.857372	0	0.0009661957
50.7	1.433903	4.857355	0	0.001002877
50.8	1.433899	4.857335	0	0.001256397
50.9	1.433898	4.857313	0	0.0009063048
51	1.433902	4.857285	0	0.0004505787
51.1	1.433896	4.857265	0	0.000724641
51.2	1.433903	4.857243	0	0.0006575331
51.3	1.433904	4.857223	0	0.0008228144
51.4	1.433904	4.857203	0	0.0005179701
51.5	1.4339	4.857182	0	0.0006677525
51.6	1.4339	4.857163	0	0.000676351
51.7	1.433899	4.85714	0	0.0006283374
51.8	1.433894	4.857115	0	0.0009235188
51.9	1.433899	4.85709	0	0.000803062
52	1.4339	4.857063	0	0.001064106
52.1	1.433897	4.857052	0	0.001068107
52.2	1.433898	4.857033	0	0.001449144
52.3	1.4339	4.857008	0	0.000980972
52.4	1.433897	4.856988	0	0.0004900963
52.5	1.433895	4.856962	0	0.0005969214
52.6	1.433897	4.856935	0	0.001325799
52.7	1.433896	4.856918	0	0.001254455
52.8	1.433896	4.856897	0	0.001256746
52.9	1.433893	4.856874	0	0.001343362
53	1.433897	4.856855	0	0.00103868
53.1	1.433894	4.856835	0	0.0009216246
53.2	1.433896	4.856809	0	0.0006100342
53.3	1.433895	4.856785	0	0.000931525
53.4	1.433896	4.85676	0	0.001157695
53.5	1.433895	4.85674	0	0.001449121
53.6	1.433893	4.85672	0	0.001549
53.7	1.433892	4.856702	0	0.001386274
53.8	1.433894	4.856678	0	0.001157474
53.9	1.433894	4.856658	0	0.00101351
54	1.433892	4.856635	0	0.001057187
54.1	1.433893	4.856615	0	0.001010737
54.2	1.433894	4.856592	0	0.0009933875
54.3	1.433892	4.856566	0	0.001056841
54.4	1.433894	4.856543	0	0.001078963
54.5	1.433892	4.856525	0	0.001223819
54.6	1.433893	4.856502	0	0.001054031
54.7	1.433895	4.856485	0	0.00143851
54.8	1.433893	4.85646	0	0.001316618
54.9	1.433891	4.856439	0	0.001373308
55	1.433891	4.856407	0	0.0008822864
55.1	1.433891	4.856386	0	0.0007210007
55.2	1.433889	4.856367	0	0.0007774869
55.3	1.433892	4.856342	0	0.001055991
55.4	1.433891	4.856321	0	0.001256661
55.5	1.433891	4.856307	0	0.001234553
55.6	1.433887	4.856277	0	0.001268422
55.7	1.433892	4.856256	0	0.001021178
55.8	1.433888	4.856232	0	0.001267482
55.9	1.433889	4.856209	0	0.001228705
56	1.433889	4.85619	0	0.001580215
56.1	1.433891	4.856169	0	0.001532403
56.2	1.433887	4.856152	0	0.001599628
56.3	1.433888	4.856139	0	0.001357459
56.4	1.433892	4.856112	0	0.0009123043
56.5	1.43389	4.856085	0	0.0003942098
56.6	1.433886	4.856065	0	0.0004931275
56.7	1.433889	4.856034	0	0.0004906798
56.8	1.433886	4.856008	0	0.001163902
56.9	1.433886	4.855991	0	0.001356126
57	1.433886	4.855969	0	0.001358972
57.1	1.433887	4.855956	0	0.001130868
57.2	1.433888	4.855928	0	0.0008647546
57.3	1.433886	4.855905	0	0.001132265
57.4	1.433889	4.855879	0	0.001141038
57.5	1.433885	4.855859	0	0.001362669
57.6	1.433884	4.855846	0	0.001551697
57.7	1.433885	4.855823	0	0.001512611
57.8	1.433883	4.855801	0	0.00144038
57.9	1.433886	4.855775	0	0.001398784
58	1.433887	4.855752	0	0.00117911
58.1	1.433883	4.855737	0	0.001091172
58.2	1.433883	4.855713	0	0.001221336
58.3	1.433883	4.855692	0	0.001321569
58.4	1.433886	4.855667	0	0.0009579759
58.5	1.433884	4.855651	0	0.001040226
58.6	1.433889	4.855633	0	0.0005700758
58.7	1.433885	4.855608	0	0.0005146817
58.8	1.433884	4.855583	0	0.0007266449
58.9	1.433884	4.855556	0	0.0007604185
59	1.433883	4.85553	0	0.0009321471
59.1	1.43388	4.855515	0	0.0007795969
59.2	1.433884	4.855494	0	0.00108658
59.3	1.433885	4.855481	0	0.000932637
59.4	1.433881	4.855464	0	0.001275242
59.5	1.433881	4.855437	0	0.0009903925
59.6	1.433882	4.855406	0	0.0008036476
59.7	1.433879	4.855382	0	0.0007432445
59.8	1.433883	4.855361	0	0.001352455
59.9	1.433882	4.85534	0	0.001284385
60	1.433885	4.855324	0	0.001594436
60.1	1.433879	4.8553	0	0.001614654
60.2	1.43388	4.855286	0	0.001538966
60.3	1.43388	4.855265	0	0.0009882598
60.4	1.433876	4.855237	0	0.0003335892
60.5	1.433877	4.855214	0	0.0005999987
60.6	1.433879	4.85519	0	0.000761877
60.7	1.433877	4.855171	0	0.0008622068
60.8	1.433879	4.855145	0	0.001291574
60.9	1.433878	4.855133	0	0.0014093
61	1.433878	4.855115	0	0.001249483
61.1	1.433877	4.855093	0	0.001402042
61.2	1.433878	4.855072	0	0.0007230868
61.3	1.433876	4.855044	0	0.0006189097
61.4	1.433878	4.855017	0	0.0007537932
61.5	1.433874	4.855	0	0.0005898558
61.6	1.433877	4.85498	0	0.0008831863
61.7	1.433876	4.854957	0	0.0008668778
61.8	1.433874	4.854943	0	0.001058442
61.9	1.433875	4.854923	0	0.001060436
62	1.433875	4.854897	0	0.001083413
